day_num;timestamp;avg_watt;min_watt;max_watt;
1;18.06.25, 00:00:01;723,935;722,338;724,661;
2;18.06.25, 00:00:02;724,341;722,878;725,881;
3;18.06.25, 00:00:03;724,714;723,598;725,766;
4;18.06.25, 00:00:04;724,791;722,827;726,237;
5;18.06.25, 00:00:05;724,286;722,692;725,720;
6;18.06.25, 00:00:06;724,338;722,823;725,624;
7;18.06.25, 00:00:07;724,483;723,057;725,424;
8;18.06.25, 00:00:08;724,307;722,689;725,871;
9;18.06.25, 00:00:09;724,513;723,516;725,082;
10;18.06.25, 00:00:10;724,602;723,745;725,428;
11;18.06.25, 00:00:11;724,372;722,901;725,105;
12;18.06.25, 00:00:12;724,829;722,485;725,930;
13;18.06.25, 00:00:13;723,397;721,480;725,792;
14;18.06.25, 00:00:14;723,814;722,983;724,772;
15;18.06.25, 00:00:15;724,209;721,416;726,622;
16;18.06.25, 00:00:16;724,355;722,772;725,247;
17;18.06.25, 00:00:17;724,649;723,137;725,791;
18;18.06.25, 00:00:18;724,288;722,833;725,144;
19;18.06.25, 00:00:19;724,676;723,628;725,833;
20;18.06.25, 00:00:20;724,828;723,135;726,002;
21;18.06.25, 00:00:21;724,988;723,724;726,566;
22;18.06.25, 00:00:22;724,090;722,532;725,370;
23;18.06.25, 00:00:23;724,684;723,601;726,148;
24;18.06.25, 00:00:24;724,357;723,282;725,317;
25;18.06.25, 00:00:25;724,634;722,860;727,624;
26;18.06.25, 00:00:26;725,022;724,078;725,987;
27;18.06.25, 00:00:27;724,177;722,713;726,041;
28;18.06.25, 00:00:28;724,506;723,650;725,213;
29;18.06.25, 00:00:29;724,697;722,903;726,339;
30;18.06.25, 00:00:30;724,461;723,188;725,805;
31;18.06.25, 00:00:31;723,602;722,593;725,140;
32;18.06.25, 00:00:32;723,818;722,328;724,841;
33;18.06.25, 00:00:33;724,703;722,635;726,933;
34;18.06.25, 00:00:34;724,333;723,536;725,187;
35;18.06.25, 00:00:35;725,171;723,871;726,461;
36;18.06.25, 00:00:36;726,315;724,288;728,064;
37;18.06.25, 00:00:37;727,394;724,954;729,382;
38;18.06.25, 00:00:38;728,726;727,305;730,448;
39;18.06.25, 00:00:39;727,950;726,083;728,797;
40;18.06.25, 00:00:40;728,466;727,640;729,111;
41;18.06.25, 00:00:41;728,431;727,568;728,909;
42;18.06.25, 00:00:42;727,781;725,925;730,041;
43;18.06.25, 00:00:43;727,957;726,716;730,136;
44;18.06.25, 00:00:44;727,806;726,924;728,621;
45;18.06.25, 00:00:45;728,212;727,105;729,620;
46;18.06.25, 00:00:46;727,569;726,857;728,488;
47;18.06.25, 00:00:47;727,778;727,511;728,114;
48;18.06.25, 00:00:48;728,042;726,796;729,933;
49;18.06.25, 00:00:49;727,702;725,721;728,834;
50;18.06.25, 00:00:50;727,436;727,167;727,856;
51;18.06.25, 00:00:51;727,320;726,078;728,331;
52;18.06.25, 00:00:52;727,493;727,060;727,978;
53;18.06.25, 00:00:53;728,123;726,947;729,432;
54;18.06.25, 00:00:54;727,787;727,002;729,274;
55;18.06.25, 00:00:55;727,356;725,374;728,999;
56;18.06.25, 00:00:56;728,342;728,113;728,676;
57;18.06.25, 00:00:57;728,662;728,076;729,742;
58;18.06.25, 00:00:58;728,192;727,106;729,752;
59;18.06.25, 00:00:59;728,336;727,230;729,194;
60;18.06.25, 00:01:00;729,509;727,541;734,894;
61;18.06.25, 00:01:01;728,575;726,970;730,139;
62;18.06.25, 00:01:02;728,363;726,919;729,200;
63;18.06.25, 00:01:03;729,176;727,935;729,910;
64;18.06.25, 00:01:04;728,547;727,187;729,428;
65;18.06.25, 00:01:05;728,493;726,590;729,613;
66;18.06.25, 00:01:06;726,715;725,673;728,503;
67;18.06.25, 00:01:07;725,637;724,674;727,003;
68;18.06.25, 00:01:08;725,673;723,791;726,902;
69;18.06.25, 00:01:09;725,378;723,970;726,442;
70;18.06.25, 00:01:10;725,552;724,451;726,236;
71;18.06.25, 00:01:11;725,745;725,041;726,744;
72;18.06.25, 00:01:12;725,731;724,596;727,014;
73;18.06.25, 00:01:13;725,727;724,281;726,529;
74;18.06.25, 00:01:14;725,720;724,013;726,678;
75;18.06.25, 00:01:15;725,247;723,801;726,205;
76;18.06.25, 00:01:16;725,952;725,110;727,011;
77;18.06.25, 00:01:17;725,617;724,623;726,256;
78;18.06.25, 00:01:18;725,991;724,158;728,098;
79;18.06.25, 00:01:19;725,749;725,343;726,471;
80;18.06.25, 00:01:20;725,599;723,990;728,420;
81;18.06.25, 00:01:21;726,079;724,550;727,598;
82;18.06.25, 00:01:22;725,643;725,106;726,470;
83;18.06.25, 00:01:23;726,386;725,623;727,248;
84;18.06.25, 00:01:24;726,308;725,015;727,073;
85;18.06.25, 00:01:25;726,025;724,597;727,607;
86;18.06.25, 00:01:26;726,749;724,949;728,041;
87;18.06.25, 00:01:27;726,726;726,323;727,170;
88;18.06.25, 00:01:28;726,072;725,511;726,884;
89;18.06.25, 00:01:29;726,219;724,790;727,341;
90;18.06.25, 00:01:30;726,436;725,983;727,289;
91;18.06.25, 00:01:31;726,172;725,287;727,828;
92;18.06.25, 00:01:32;725,853;724,918;727,098;
93;18.06.25, 00:01:33;725,716;724,773;727,124;
94;18.06.25, 00:01:34;725,743;724,874;726,511;
95;18.06.25, 00:01:35;726,058;725,168;726,736;
96;18.06.25, 00:01:36;726,328;726,091;726,967;
97;18.06.25, 00:01:37;726,215;724,711;728,015;
98;18.06.25, 00:01:38;726,448;725,006;728,013;
99;18.06.25, 00:01:39;725,749;724,690;728,087;
100;18.06.25, 00:01:40;726,216;725,405;727,859;
101;18.06.25, 00:01:41;726,849;726,128;727,438;
102;18.06.25, 00:01:42;725,513;724,858;726,535;
103;18.06.25, 00:01:43;726,569;726,231;726,936;
104;18.06.25, 00:01:44;742,204;726,362;797,888;
105;18.06.25, 00:01:45;723,668;720,224;725,604;
106;18.06.25, 00:01:46;723,587;722,181;725,068;
107;18.06.25, 00:01:47;723,030;721,829;724,075;
108;18.06.25, 00:01:48;722,070;720,895;723,407;
109;18.06.25, 00:01:49;723,523;721,980;725,162;
110;18.06.25, 00:01:50;723,229;721,395;725,188;
111;18.06.25, 00:01:51;724,275;722,863;726,047;
112;18.06.25, 00:01:52;726,348;723,463;728,221;
113;18.06.25, 00:01:53;727,179;724,283;729,191;
114;18.06.25, 00:01:54;725,848;725,098;726,649;
115;18.06.25, 00:01:55;725,762;723,683;727,535;
116;18.06.25, 00:01:56;725,895;725,568;726,499;
117;18.06.25, 00:01:57;726,702;724,916;727,886;
118;18.06.25, 00:01:58;726,251;725,113;727,158;
119;18.06.25, 00:01:59;725,541;724,256;726,295;
120;18.06.25, 00:02:00;726,200;724,601;728,487;
121;18.06.25, 00:02:01;727,520;724,877;734,464;
122;18.06.25, 00:02:02;725,299;724,311;726,285;
123;18.06.25, 00:02:03;725,615;724,777;727,134;
124;18.06.25, 00:02:04;725,220;724,679;725,834;
125;18.06.25, 00:02:05;725,928;724,084;726,838;
126;18.06.25, 00:02:06;723,904;723,528;724,274;
127;18.06.25, 00:02:07;723,081;721,488;724,335;
128;18.06.25, 00:02:08;723,905;722,919;725,253;
129;18.06.25, 00:02:09;723,784;722,433;724,511;
130;18.06.25, 00:02:10;723,526;722,809;725,390;
131;18.06.25, 00:02:11;722,791;722,113;723,732;
132;18.06.25, 00:02:12;723,211;721,389;725,042;
133;18.06.25, 00:02:13;725,006;724,665;725,557;
134;18.06.25, 00:02:14;724,340;723,297;725,772;
135;18.06.25, 00:02:15;724,631;723,874;725,749;
136;18.06.25, 00:02:16;724,243;723,250;725,284;
137;18.06.25, 00:02:17;724,462;723,799;725,795;
138;18.06.25, 00:02:18;724,669;723,558;726,181;
139;18.06.25, 00:02:19;724,385;724,020;724,988;
140;18.06.25, 00:02:20;724,719;722,844;726,550;
141;18.06.25, 00:02:21;724,654;723,107;725,750;
142;18.06.25, 00:02:22;724,722;723,297;725,601;
143;18.06.25, 00:02:23;724,757;724,008;726,701;
144;18.06.25, 00:02:24;724,831;724,498;725,252;
145;18.06.25, 00:02:25;725,207;724,028;725,802;
146;18.06.25, 00:02:26;724,631;724,078;725,248;
147;18.06.25, 00:02:27;724,622;722,925;726,555;
148;18.06.25, 00:02:28;725,646;723,984;727,200;
149;18.06.25, 00:02:29;725,294;723,745;726,656;
150;18.06.25, 00:02:30;725,742;723,361;727,748;
151;18.06.25, 00:02:31;724,812;724,627;725,335;
152;18.06.25, 00:02:32;725,657;724,938;726,968;
153;18.06.25, 00:02:33;726,125;725,468;727,461;
154;18.06.25, 00:02:34;725,633;725,022;726,085;
155;18.06.25, 00:02:35;725,878;725,044;727,201;
156;18.06.25, 00:02:36;724,839;723,038;726,641;
157;18.06.25, 00:02:37;725,797;725,223;726,134;
158;18.06.25, 00:02:38;725,880;725,070;726,905;
159;18.06.25, 00:02:39;741,059;722,977;789,786;
